"a", "milt8", "milt7", "milt6", "milt5", "milt4", "milt3", "milt2", "milt1"
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,2,2
3,0,0,0,0,0,0,2,2
4,0,0,0,0,0,4,2,2
5,0,0,0,0,0,4,4,3
6,0,0,0,0,0,4,4,4
7,0,0,0,0,0,4,4,4
8,0,0,0,0,8,4,4,4
9,0,0,0,0,8,4,4,5
10,0,0,0,0,8,4,6,6
11,0,0,0,0,8,8,6,6
12,0,0,0,0,8,8,6,6
13,0,0,0,0,8,8,8,7
14,0,0,0,0,8,8,8,8
15,0,0,0,0,8,8,8,8
16,0,0,0,16,8,8,8,8
17,0,0,0,16,8,8,8,9
18,0,0,0,16,8,8,10,10
19,0,0,0,16,8,8,10,10
20,0,0,0,16,8,12,10,10
21,0,0,0,16,8,12,12,11
22,0,0,0,16,8,12,12,12
23,0,0,0,16,16,12,12,12
24,0,0,0,16,16,12,12,12
25,0,0,0,16,16,12,12,13
26,0,0,0,16,16,12,14,14
27,0,0,0,16,16,16,14,14
28,0,0,0,16,16,16,14,14
29,0,0,0,16,16,16,16,15
30,0,0,0,16,16,16,16,16
31,0,0,0,16,16,16,16,16
32,0,0,32,16,16,16,16,16
33,0,0,32,16,16,16,16,17
34,0,0,32,16,16,16,18,18
35,0,0,32,16,16,16,18,18
36,0,0,32,16,16,20,18,18
37,0,0,32,16,16,20,20,19
38,0,0,32,16,16,20,20,20
39,0,0,32,16,16,20,20,20
40,0,0,32,16,24,20,20,20
41,0,0,32,16,24,20,20,21
42,0,0,32,16,24,20,22,22
43,0,0,32,16,24,24,22,22
44,0,0,32,16,24,24,22,22
45,0,0,32,16,24,24,24,23
46,0,0,32,16,24,24,24,24
47,0,0,32,32,24,24,24,24
48,0,0,32,32,24,24,24,24
49,0,0,32,32,24,24,24,25
50,0,0,32,32,24,24,26,26
51,0,0,32,32,24,24,26,26
52,0,0,32,32,24,28,26,26
53,0,0,32,32,24,28,28,27
54,0,0,32,32,24,28,28,28
55,0,0,32,32,32,28,28,28
56,0,0,32,32,32,28,28,28
57,0,0,32,32,32,28,28,29
58,0,0,32,32,32,28,30,30
59,0,0,32,32,32,32,30,30
60,0,0,32,32,32,32,30,30
61,0,0,32,32,32,32,32,31
62,0,0,32,32,32,32,32,32
63,0,0,32,32,32,32,32,32
64,0,64,32,32,32,32,32,32
65,0,64,32,32,32,32,32,33
66,0,64,32,32,32,32,34,34
67,0,64,32,32,32,32,34,34
68,0,64,32,32,32,36,34,34
69,0,64,32,32,32,36,36,35
70,0,64,32,32,32,36,36,36
71,0,64,32,32,32,36,36,36
72,0,64,32,32,40,36,36,36
73,0,64,32,32,40,36,36,37
74,0,64,32,32,40,36,38,38
75,0,64,32,32,40,40,38,38
76,0,64,32,32,40,40,38,38
77,0,64,32,32,40,40,40,39
78,0,64,32,32,40,40,40,40
79,0,64,32,32,40,40,40,40
80,0,64,32,48,40,40,40,40
81,0,64,32,48,40,40,40,41
82,0,64,32,48,40,40,42,42
83,0,64,32,48,40,40,42,42
84,0,64,32,48,40,44,42,42
85,0,64,32,48,40,44,44,43
86,0,64,32,48,40,44,44,44
87,0,64,32,48,48,44,44,44
88,0,64,32,48,48,44,44,44
89,0,64,32,48,48,44,44,45
90,0,64,32,48,48,44,46,46
91,0,64,32,48,48,48,46,46
92,0,64,32,48,48,48,46,46
93,0,64,32,48,48,48,48,47
94,0,64,32,48,48,48,48,48
95,0,64,64,48,48,48,48,48
96,0,64,64,48,48,48,48,48
97,0,64,64,48,48,48,48,49
98,0,64,64,48,48,48,50,50
99,0,64,64,48,48,48,50,50
100,0,64,64,48,48,52,50,50
101,0,64,64,48,48,52,52,51
102,0,64,64,48,48,52,52,52
103,0,64,64,48,48,52,52,52
104,0,64,64,48,56,52,52,52
105,0,64,64,48,56,52,52,53
106,0,64,64,48,56,52,54,54
107,0,64,64,48,56,56,54,54
108,0,64,64,48,56,56,54,54
109,0,64,64,48,56,56,56,55
110,0,64,64,48,56,56,56,56
111,0,64,64,64,56,56,56,56
112,0,64,64,64,56,56,56,56
113,0,64,64,64,56,56,56,57
114,0,64,64,64,56,56,58,58
115,0,64,64,64,56,56,58,58
116,0,64,64,64,56,60,58,58
117,0,64,64,64,56,60,60,59
118,0,64,64,64,56,60,60,60
119,0,64,64,64,64,60,60,60
120,0,64,64,64,64,60,60,60
121,0,64,64,64,64,60,60,61
122,0,64,64,64,64,60,62,62
123,0,64,64,64,64,64,62,62
124,0,64,64,64,64,64,62,62
125,0,64,64,64,64,64,64,63
126,0,64,64,64,64,64,64,64
127,0,64,64,64,64,64,64,64
128,128,64,64,64,64,64,64,64
129,128,64,64,64,64,64,64,65
130,128,64,64,64,64,64,66,66
131,128,64,64,64,64,64,66,66
132,128,64,64,64,64,68,66,66
133,128,64,64,64,64,68,68,67
134,128,64,64,64,64,68,68,68
135,128,64,64,64,64,68,68,68
136,128,64,64,64,72,68,68,68
137,128,64,64,64,72,68,68,69
138,128,64,64,64,72,68,70,70
139,128,64,64,64,72,72,70,70
140,128,64,64,64,72,72,70,70
141,128,64,64,64,72,72,72,71
142,128,64,64,64,72,72,72,72
143,128,64,64,64,72,72,72,72
144,128,64,64,80,72,72,72,72
145,128,64,64,80,72,72,72,73
146,128,64,64,80,72,72,74,74
147,128,64,64,80,72,72,74,74
148,128,64,64,80,72,76,74,74
149,128,64,64,80,72,76,76,75
150,128,64,64,80,72,76,76,76
151,128,64,64,80,80,76,76,76
152,128,64,64,80,80,76,76,76
153,128,64,64,80,80,76,76,77
154,128,64,64,80,80,76,78,78
155,128,64,64,80,80,80,78,78
156,128,64,64,80,80,80,78,78
157,128,64,64,80,80,80,80,79
158,128,64,64,80,80,80,80,80
159,128,64,64,80,80,80,80,80
160,128,64,96,80,80,80,80,80
161,128,64,96,80,80,80,80,81
162,128,64,96,80,80,80,82,82
163,128,64,96,80,80,80,82,82
164,128,64,96,80,80,84,82,82
165,128,64,96,80,80,84,84,83
166,128,64,96,80,80,84,84,84
167,128,64,96,80,80,84,84,84
168,128,64,96,80,88,84,84,84
169,128,64,96,80,88,84,84,85
170,128,64,96,80,88,84,86,86
171,128,64,96,80,88,88,86,86
172,128,64,96,80,88,88,86,86
173,128,64,96,80,88,88,88,87
174,128,64,96,80,88,88,88,88
175,128,64,96,96,88,88,88,88
176,128,64,96,96,88,88,88,88
177,128,64,96,96,88,88,88,89
178,128,64,96,96,88,88,90,90
179,128,64,96,96,88,88,90,90
180,128,64,96,96,88,92,90,90
181,128,64,96,96,88,92,92,91
182,128,64,96,96,88,92,92,92
183,128,64,96,96,96,92,92,92
184,128,64,96,96,96,92,92,92
185,128,64,96,96,96,92,92,93
186,128,64,96,96,96,92,94,94
187,128,64,96,96,96,96,94,94
188,128,64,96,96,96,96,94,94
189,128,64,96,96,96,96,96,95
190,128,64,96,96,96,96,96,96
191,128,128,96,96,96,96,96,96
192,128,128,96,96,96,96,96,96
193,128,128,96,96,96,96,96,97
194,128,128,96,96,96,96,98,98
195,128,128,96,96,96,96,98,98
196,128,128,96,96,96,100,98,98
197,128,128,96,96,96,100,100,99
198,128,128,96,96,96,100,100,100
199,128,128,96,96,96,100,100,100
200,128,128,96,96,104,100,100,100
201,128,128,96,96,104,100,100,101
202,128,128,96,96,104,100,102,102
203,128,128,96,96,104,104,102,102
204,128,128,96,96,104,104,102,102
205,128,128,96,96,104,104,104,103
206,128,128,96,96,104,104,104,104
207,128,128,96,96,104,104,104,104
208,128,128,96,112,104,104,104,104
209,128,128,96,112,104,104,104,105
210,128,128,96,112,104,104,106,106
211,128,128,96,112,104,104,106,106
212,128,128,96,112,104,108,106,106
213,128,128,96,112,104,108,108,107
214,128,128,96,112,104,108,108,108
215,128,128,96,112,112,108,108,108
216,128,128,96,112,112,108,108,108
217,128,128,96,112,112,108,108,109
218,128,128,96,112,112,108,110,110
219,128,128,96,112,112,112,110,110
220,128,128,96,112,112,112,110,110
221,128,128,96,112,112,112,112,111
222,128,128,96,112,112,112,112,112
223,128,128,128,112,112,112,112,112
224,128,128,128,112,112,112,112,112
225,128,128,128,112,112,112,112,113
226,128,128,128,112,112,112,114,114
227,128,128,128,112,112,112,114,114
228,128,128,128,112,112,116,114,114
229,128,128,128,112,112,116,116,115
230,128,128,128,112,112,116,116,116
231,128,128,128,112,112,116,116,116
232,128,128,128,112,120,116,116,116
233,128,128,128,112,120,116,116,117
234,128,128,128,112,120,116,118,118
235,128,128,128,112,120,120,118,118
236,128,128,128,112,120,120,118,118
237,128,128,128,112,120,120,120,119
238,128,128,128,112,120,120,120,120
239,128,128,128,128,120,120,120,120
240,128,128,128,128,120,120,120,120
241,128,128,128,128,120,120,120,121
242,128,128,128,128,120,120,122,122
243,128,128,128,128,120,120,122,122
244,128,128,128,128,120,124,122,122
245,128,128,128,128,120,124,124,123
246,128,128,128,128,120,124,124,124
247,128,128,128,128,128,124,124,124
248,128,128,128,128,128,124,124,124
249,128,128,128,128,128,124,124,125
250,128,128,128,128,128,124,126,126
251,128,128,128,128,128,128,126,126
252,128,128,128,128,128,128,126,126
253,128,128,128,128,128,128,128,127
254,128,128,128,128,128,128,128,128
255,128,128,128,128,128,128,128,128
